YYYYMM,Value,Description,Unit
197910,87527.612,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197911,87455.783,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197912,96230.048,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198001,103257.677,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198002,98150.804,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198003,95386.178,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198004,83561.813,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198005,84884.262,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198006,93691.765,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198007,108456.913,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198008,107579.936,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198009,97556.952,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198010,91196.02,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198011,93500.667,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198012,104339.38,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198101,111764.813,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198102,97653.289,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198103,99482.128,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198104,88109.349,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198105,88940.698,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198106,99837.068,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198107,112853.683,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198108,108402.855,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198109,97663.878,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198110,97046.239,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198111,94841.001,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
